lineage,subtype
upper aerodigestive,squamous cell carcinoma
upper aerodigestive,upper aerodigestive squamous
upper aerodigestive,"squamous cell carcinoma, pharynx"
upper aerodigestive,"squamous cell carcinoma, tongue"
upper aerodigestive,"squamous cell carcinoma, oral"
upper aerodigestive,"squamous cell carcinoma, basaloid"
upper aerodigestive,"squamous cell carcinoma, hypopharyngeal"
urinary tract,squamous cell carcinoma
urinary tract,transitional cell carcinoma
urinary tract,bladder urothelial carcinoma
urinary tract,carcinoma
uterus,endometrial adenosquamous carcinoma
uterus,uterine carcinosarcoma
uterus,endometrial squamous cell carcinoma
uterus,endometrial adenocarcinoma
uterus,malignant mixed mullerian tumor
uterus,choriocarcinoma
uterus,endometrial stromal sarcoma
uterus,mullerian carcinoma
uterus,uterine endometrioid
uterus,clear cell carcinoma
